Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
26,Donovan McNabb*\McNaDo00,PHI,26,QB,10,10,7-3-0,211,361,58.4,2289,17,4.7,6,1.7,59,6.3,6.5,10.8,228.9,86.0,28,166,5.46,5.64,7.2,0,1
27,Jim Miller\MillJi00,CHI,31,QB,10,8,2-6-0,180,314,57.3,1944,13,4.1,9,2.9,54,6.2,5.7,10.8,194.4,77.5,16,101,5.58,5.15,4.8,2,2
28,Jeff Blake\BlakJe00,BAL,32,QB,11,10,4-6-0,165,295,55.9,2084,13,4.4,11,3.7,77,7.1,6.3,12.6,189.5,77.3,30,203,5.79,5.06,9.2,1,1
29,Jay Fiedler\FiedJa00,MIA,31,QB,11,10,7-3-0,179,292,61.3,2024,14,4.8,9,3.1,59,6.9,6.5,11.3,184.0,85.2,13,89,6.34,5.93,4.3,1,1
30,Chad Hutchinson\HutcCh00,DAL,25,QB,9,9,2-7-0,127,250,50.8,1555,7,2.8,8,3.2,58,6.2,5.3,12.2,172.8,66.3,34,265,4.54,3.77,12.0,1,1
31,Shane Matthews\MattSh00,WAS,32,qb,8,7,3-4-0,124,237,52.3,1251,11,4.6,6,2.5,43,5.3,5.1,10.1,156.4,72.6,9,54,4.87,4.66,3.7,,
32,Patrick Ramsey\RamsPa00,WAS,23,qb,9,5,2-3-0,117,227,51.5,1539,9,4.0,8,3.5,62,6.8,6.0,13.2,171.0,71.8,18,132,5.74,5.01,7.3,,
33,Quincy Carter\CartQu00,DAL,25,qb,7,7,3-4-0,125,221,56.6,1465,7,3.2,8,3.6,80,6.6,5.6,11.7,209.3,72.3,19,130,5.56,4.65,7.9,2,2
34,Kurt Warner\WarnKu00,STL,31,qb,7,6,0-6-0,144,220,65.5,1431,3,1.4,11,5.0,43,6.5,4.5,9.9,204.4,67.4,21,130,5.40,3.59,8.7,,
35,Marc Bulger\BulgMa00,STL,25,qb,7,7,6-1-0,138,214,64.5,1826,14,6.5,6,2.8,58,8.5,8.6,13.2,260.9,101.5,12,102,7.63,7.67,5.3,2,2
36,Jamie Martin\MartJa00,STL,32,qb,5,2,0-2-0,124,195,63.6,1216,7,3.6,10,5.1,33,6.2,4.6,9.8,243.2,71.7,10,77,5.56,4.04,4.9,0,0
37,Chris Redman\RedmCh00,BAL,25,qb,6,6,3-3-0,97,182,53.3,1034,7,3.8,3,1.6,36,5.7,5.7,10.7,172.3,76.1,11,68,5.01,5.03,5.7,,
38,Trent Dilfer\DilfTr00,SEA,30,qb,6,6,2-4-0,94,168,56.0,1182,4,2.4,6,3.6,83,7.0,5.9,12.6,197.0,71.1,7,36,6.55,5.46,4.0,,
39,Kordell Stewart\StewKo00,PIT,30,qb,7,5,3-2-0,109,166,65.7,1155,6,3.6,6,3.6,64,7.0,6.1,10.6,165.0,82.8,7,46,6.41,5.54,4.0,1,1
40,Chris Chandler\ChanCh00,CHI,37,qb,9,7,2-5-0,103,161,64.0,1023,4,2.5,4,2.5,76,6.4,5.7,9.9,113.7,79.8,23,144,4.78,4.23,12.5,,
41,Ray Lucas\LucaRa00,MIA,30,qb,7,6,2-4-0,92,160,57.5,1045,4,2.5,6,3.8,77,6.5,5.3,11.4,149.3,69.9,12,90,5.55,4.45,7.0,,
42,A.J. Feeley\FeelA.00,PHI,25,qb,6,5,4-1-0,86,154,55.8,1011,6,3.9,5,3.2,53,6.6,5.9,11.8,168.5,75.4,7,48,5.98,5.33,4.3,,
43,Mike McMahon\McMaMi00,DET,23,qb,8,4,0-4-0,62,147,42.2,874,7,4.8,9,6.1,49,5.9,4.1,14.1,109.3,52.4,12,99,4.87,3.21,7.5,,
44,Steve Beuerlein\BeueSt00,DEN,37,qb,8,3,1-2-0,68,117,58.1,925,6,5.1,5,4.3,52,7.9,7.0,13.6,115.6,82.7,12,78,6.57,5.75,9.3,,
45,Kelly Holcomb\HolcKe00,CLE,29,qb,4,2,1-1-0,64,106,60.4,790,8,7.5,4,3.8,44,7.5,7.3,12.3,197.5,92.9,5,40,6.76,6.58,4.5,1,1
46,Danny Wuerffel\WuerDa00,WAS,28,qb,7,4,2-2-0,58,92,63.0,719,3,3.3,6,6.5,40,7.8,5.5,12.4,102.7,70.9,11,83,6.17,4.14,10.7,,
47,Rob Johnson\JohnRo00,TAM,29,qb,6,2,2-0-0,57,88,64.8,536,1,1.1,2,2.3,23,6.1,5.3,9.4,89.3,75.8,19,94,4.13,3.48,17.8,1,1
48,Gus Frerotte\FrerGu00,CIN,31,qb,4,3,0-3-0,44,85,51.8,437,1,1.2,5,5.9,51,5.1,2.7,9.9,109.3,46.1,10,74,3.82,1.66,10.5,,
49,Vinny Testaverde\TestVi00,NYJ,39,qb,5,4,1-3-0,54,83,65.1,499,3,3.6,3,3.6,35,6.0,5.1,9.2,99.8,78.3,9,62,4.75,3.93,9.8,1,0
50,Doug Johnson\JohnDo00,ATL,25,qb,6,1,1-0-0,37,57,64.9,448,2,3.5,3,5.3,63,7.9,6.2,12.1,74.7,78.7,3,11,7.28,5.70,5.0,1,2
51,Henry Burris\BurrHe00,CHI,27,qb,6,1,0-1-0,18,51,35.3,207,3,5.9,5,9.8,45,4.1,0.8,11.5,34.5,28.4,0,0,4.06,0.82,0.0,,
52,David Garrard\GarrDa00,JAX,24,qb,4,1,0-1-0,23,46,50.0,231,1,2.2,2,4.3,22,5.0,3.5,10.0,57.8,53.8,7,40,3.60,2.28,13.2,,
53,Randy Fasani\FasaRa00,CAR,24,qb,4,1,0-1-0,15,44,34.1,171,0,0.0,4,9.1,27,3.9,-0.2,11.4,42.8,8.8,7,60,2.18,-1.35,13.7,,
54,Tim Rattay\RattTi00,SFO,25,,4,0,,26,43,60.5,232,2,4.7,0,0.0,27,5.4,6.3,8.9,58.0,90.5,5,26,4.29,5.13,10.4,,
55,Chris Weinke\WeinCh00,CAR,30,qb,6,1,0-1-0,17,38,44.7,180,0,0.0,3,7.9,24,4.7,1.2,10.6,30.0,26.2,6,35,3.30,0.23,13.6,,
56,Akili Smith\SmitAk00,CIN,27,qb,1,1,0-1-0,12,33,36.4,117,0,0.0,1,3.0,24,3.5,2.2,9.8,117.0,34.5,3,23,2.61,1.36,8.3,,
57,Koy Detmer\DetmKo00,PHI,29,qb,14,1,1-0-0,19,28,67.9,224,2,7.1,0,0.0,37,8.0,9.4,11.8,16.0,115.8,1,8,7.45,8.83,3.4,,
58,Doug Pederson\PedeDo00,GNB,34,,16,0,,19,28,67.9,134,1,3.6,0,0.0,20,4.8,5.5,7.1,8.4,90.5,1,8,4.34,5.03,3.4,,
59,Shaun King\KingSh00,TAM,25,qb,3,1,0-1-0,10,27,37.0,80,0,0.0,1,3.7,20,3.0,1.3,8.0,26.7,30.0,1,5,2.68,1.07,3.6,0,1
60,Josh McCown\McCoJo01,ARI,23,,2,0,,7,18,38.9,66,0,0.0,2,11.1,26,3.7,-1.3,9.4,33.0,10.2,5,50,0.70,-3.22,21.7,,
61,Doug Flutie\FlutDo00,SDG,40,,1,0,,3,11,27.3,64,0,0.0,0,0.0,47,5.8,5.8,21.3,64.0,51.3,0,0,5.82,5.82,0.0,,
62,Jake Delhomme\DelhJa00,NOR,27,,4,0,,8,10,80.0,113,0,0.0,0,0.0,54,11.3,11.3,14.1,28.3,113.7,0,0,11.30,11.30,0.0,,
63,Cory Sauter\SautCo00,CHI,28,,1,0,,6,9,66.7,59,0,0.0,0,0.0,31,6.6,6.6,9.8,59.0,85.0,4,20,3.00,3.00,30.8,,
64,Antwaan Randle El\RandAn00,PIT,23,,16,0,,7,8,87.5,45,0,0.0,0,0.0,25,5.6,5.6,6.4,2.8,90.1,1,10,3.89,3.89,11.1,,
65,Todd Bouman\BoumTo00,MIN,30,,1,0,,3,6,50.0,85,0,0.0,0,0.0,48,14.2,14.2,28.3,85.0,95.8,2,22,7.88,7.88,25.0,,
66,Todd Collins\CollTo00,KAN,31,,3,0,,5,6,83.3,73,1,16.7,0,0.0,29,12.2,15.5,14.6,24.3,156.9,0,0,12.17,15.50,0.0,,
67,Marty Booker*\BookMa00,CHI,26,WR,16,16,,1,5,20.0,44,1,20.0,0,0.0,44,8.8,12.8,44.0,2.8,103.3,0,0,8.80,12.80,0.0,,
68,Scott Covington\CoviSc00,STL,26,qb,1,1,1-0-0,2,5,40.0,7,0,0.0,0,0.0,4,1.4,1.4,3.5,7.0,47.9,2,16,-1.29,-1.29,28.6,,
69,Neil O'Donnell\ODonNe00,TEN,36,,4,0,,3,5,60.0,24,0,0.0,0,0.0,15,4.8,4.8,8.0,6.0,72.1,0,0,4.80,4.80,0.0,,
70,Jesse Palmer\PalmJe00,NYG,24,,2,0,,3,4,75.0,30,0,0.0,0,0.0,14,7.5,7.5,10.0,15.0,95.8,0,0,7.50,7.50,0.0,,
71,Randy Moss*\MossRa00,MIN,25,WR,16,16,,1,3,33.3,13,1,33.3,0,0.0,13,4.3,11.0,13.0,0.8,87.5,0,0,4.33,11.00,0.0,,
72,Sage Rosenfels\RoseSa00,MIA,24,,4,0,,0,3,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0,0,0.00,0.00,0.0,,
73,James Allen\AlleJa00,HOU,27,rb,16,5,,1,2,50.0,5,1,50.0,0,0.0,5,2.5,12.5,5.0,0.3,95.8,0,0,2.50,12.50,0.0,,
74,Rohan Davey\DaveRo01,NWE,24,,2,0,,1,2,50.0,3,0,0.0,0,0.0,3,1.5,1.5,3.0,1.5,56.2,0,0,1.50,1.50,0.0,,
75,Kevin Johnson\JohnKe01,CLE,26,WR,16,15,,1,2,50.0,33,1,50.0,0,0.0,33,16.5,26.5,33.0,2.1,135.4,0,0,16.50,26.50,0.0,,
76,Dorsey Levens\LeveDo00,PHI,32,,16,0,,0,2,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0,0,0.00,0.00,0.0,,
77,Alex Van Pelt\VanPAl00,BUF,32,,2,0,,2,2,100.0,5,0,0.0,0,0.0,4,2.5,2.5,2.5,2.5,79.2,0,0,2.50,2.50,0.0,,
78,Frank Wycheck\WychFr00,TEN,31,TE,15,15,,1,2,50.0,13,0,0.0,0,0.0,13,6.5,6.5,13.0,0.9,70.8,0,0,6.50,6.50,0.0,,
79,Richie Anderson\AndeRi00,NYJ,31,FB,16,14,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0,0,0.00,0.00,0.0,,
80,Dee Brown\BrowDe02,CAR,24,rb,14,3,,0,1,0.0,0,0,0.0,1,100.0,0,0.0,-45.0,,0.0,0.0,0,0,0.00,-45.00,0.0,,
81,Reche Caldwell\CaldRe00,SDG,23,wr,16,2,,1,1,100.0,20,0,0.0,0,0.0,20,20.0,20.0,20.0,1.3,118.7,0,0,20.00,20.00,0.0,,
82,Wayne Chrebet\ChreWa00,NYJ,29,WR,15,15,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0,0,0.00,0.00,0.0,,
83,Chris Doering\DoerCh00,WAS,29,wr,15,3,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0,0,0.00,0.00,0.0,,
84,Kevin Faulk\FaulKe00,NWE,26,,15,0,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0,0,0.00,0.00,0.0,,
85,Bubba Franks*\FranBu00,GNB,24,TE,16,15,,1,1,100.0,31,1,100.0,0,0.0,31,31.0,51.0,31.0,1.9,158.3,0,0,31.00,51.00,0.0,,
86,Jabar Gaffney\GaffJa00,HOU,22,WR,16,14,,1,1,100.0,39,1,100.0,0,0.0,39,39.0,59.0,39.0,2.4,158.3,0,0,39.00,59.00,0.0,,
87,Rod Gardner\GardRo00,WAS,25,WR,16,15,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0,0,0.00,0.00,0.0,,
88,Todd Heap*\HeapTo00,BAL,22,TE,16,16,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0,0,0.00,0.00,0.0,,
89,Craig Hentrich\hentrcra01,TEN,31,P,16,0,,1,1,100.0,17,0,0.0,0,0.0,17,17.0,17.0,17.0,1.1,118.7,0,0,17.00,17.00,0.0,,
90,Priest Holmes*+\HolmPr00,KAN,29,RB,14,14,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0,0,0.00,0.00,0.0,,
91,Frisman Jackson\JackFr01,CLE,23,,7,0,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0,0,0.00,0.00,0.0,,
92,Leon Johnson\JohnLe00,CHI,28,rb,16,4,,1,1,100.0,27,0,0.0,0,0.0,27,27.0,27.0,27.0,1.7,118.7,1,0,13.50,13.50,50.0,,
93,Terry Kirby\KirbTe00,OAK,32,,6,0,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0,0,0.00,0.00,0.0,,
94,Kevin Lockett\LockKe00,2TM,28,,13,4,,1,1,100.0,14,1,100.0,0,0.0,14,14.0,34.0,14.0,1.1,158.3,0,0,14.00,34.00,0.0,,
95,Brad Maynard\MaynBr20,CHI,28,P,16,0,,1,1,100.0,12,1,100.0,0,0.0,12,12.0,32.0,12.0,0.8,156.2,0,0,12.00,32.00,0.0,,
96,Brian Mitchell\MitcBr00,PHI,34,,16,0,,1,1,100.0,57,1,100.0,0,0.0,57,57.0,77.0,57.0,3.6,158.3,0,0,57.00,77.00,0.0,,
97,Freddie Mitchell\MitcFr00,PHI,24,wr,16,1,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0,0,0.00,0.00,0.0,,
98,Chris Mohr\MohrCh20,ATL,36,P,16,0,,0,1,0.0,0,0,0.0,1,100.0,0,0.0,-45.0,,0.0,0.0,0,0,0.00,-45.00,0.0,,
99,David Patten\PattDa00,NWE,28,WR,16,14,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0,0,0.00,0.00,0.0,,
100,Ricky Proehl\ProeRi00,STL,34,wr,16,2,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,1,1,-0.50,-0.50,50.0,,
101,Rod Smith\SmitRo01,DEN,32,WR,16,16,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0,0,0.00,0.00,0.0,,
102,James Stewart\StewJa00,DET,31,RB,14,9,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0,0,0.00,0.00,0.0,,
103,Tom Tupa\TupaTo20,TAM,36,P,16,0,,0,1,0.0,0,0,0.0,1,100.0,0,0.0,-45.0,,0.0,0.0,0,0,0.00,-45.00,0.0,,
104,Matt Turk\TurkMa20,NYJ,34,P,16,0,,0,1,0.0,0,0,0.0,1,100.0,0,0.0,-45.0,,0.0,0.0,0,0,0.00,-45.00,0.0,,
105,Brian Urlacher*+\UrlaBr00,CHI,24,MLB,16,16,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0,0,0.00,0.00,0.0,,
106,Brian Westbrook\WestBr00,PHI,23,fb/rb,15,3,,1,1,100.0,25,1,100.0,0,0.0,25,25.0,45.0,25.0,1.7,158.3,0,0,25.00,45.00,0.0,,
107,Dave Zastudil\ZastDa20,BAL,24,P,16,0,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0,0,0.00,0.00,0.0,,
